Search type  | Vertices   | Edge percentage | Basic operations |             Time (s)
greedy       | 18         | 75              | 8                | 0.0007128715515136719
exaustive    | 18         | 75              | 1                |  2.6702880859375e-05
greedy       | 19         | 12.5            | 6                | 0.00019693374633789062
exaustive    | 19         | 12.5            | 1                | 2.574920654296875e-05
greedy       | 19         | 25              | 8                | 0.00026488304138183594
exaustive    | 19         | 25              | 1                | 1.811981201171875e-05
greedy       | 19         | 50              | 9                | 0.0004372596740722656
exaustive    | 19         | 50              | 1                | 2.2411346435546875e-05
greedy       | 19         | 75              | 9                | 0.0006818771362304688
exaustive    | 19         | 75              | 1                | 2.765655517578125e-05
greedy       | 20         | 12.5            | 8                | 0.00025844573974609375
exaustive    | 20         | 12.5            | 1                | 1.4781951904296875e-05
greedy       | 20         | 25              | 8                | 0.0002319812774658203
exaustive    | 20         | 25              | 1                | 1.71661376953125e-05
greedy       | 20         | 50              | 9                | 0.0007135868072509766
exaustive    | 20         | 50              | 1                | 3.4809112548828125e-05
greedy       | 20         | 75              | 10               | 0.0009443759918212891
exaustive    | 20         | 75              | 1                | 2.8848648071289062e-05
greedy       | 21         | 12.5            | 9                | 0.0003581047058105469
exaustive    | 21         | 12.5            | 1                | 2.2411346435546875e-05
greedy       | 21         | 25              | 10               | 0.0003616809844970703
exaustive    | 21         | 25              | 1                | 1.9550323486328125e-05
greedy       | 21         | 50              | 10               | 0.0007686614990234375
exaustive    | 21         | 50              | 1                | 2.5033950805664062e-05
greedy       | 21         | 75              | 10               | 0.0011756420135498047
exaustive    | 21         | 75              | 1                | 3.075599670410156e-05
greedy       | 22         | 12.5            | 10               | 0.0002601146697998047
exaustive    | 22         | 12.5            | 1                | 1.5497207641601562e-05
greedy       | 22         | 25              | 9                |      0.0003662109375
exaustive    | 22         | 25              | 1                | 2.1457672119140625e-05
greedy       | 22         | 50              | 10               | 0.002167940139770508
exaustive    | 22         | 50              | 1                | 2.765655517578125e-05
greedy       | 22         | 75              | 10               | 0.002560853958129883
exaustive    | 22         | 75              | 1                | 3.218650817871094e-05
greedy       | 23         | 12.5            | 9                | 0.00030612945556640625
exaustive    | 23         | 12.5            | 1                | 2.1696090698242188e-05
greedy       | 23         | 25              | 10               | 0.0008406639099121094
exaustive    | 23         | 25              | 1                | 1.8358230590820312e-05
greedy       | 23         | 50              | 11               | 0.0024290084838867188
exaustive    | 23         | 50              | 1                | 5.173683166503906e-05
greedy       | 23         | 75              | 11               | 0.0015158653259277344
exaustive    | 23         | 75              | 1                | 3.170967102050781e-05
greedy       | 24         | 12.5            | 9                | 0.0002346038818359375
exaustive    | 24         | 12.5            | 1                | 1.5497207641601562e-05
greedy       | 24         | 25              | 12               | 0.0006458759307861328
exaustive    | 24         | 25              | 1                | 1.9788742065429688e-05
greedy       | 24         | 50              | 11               | 0.0010895729064941406
exaustive    | 24         | 50              | 1                | 2.8133392333984375e-05
greedy       | 24         | 75              | 12               | 0.0018954277038574219
exaustive    | 24         | 75              | 1                | 3.1948089599609375e-05
greedy       | 25         | 12.5            | 10               | 0.0005147457122802734
exaustive    | 25         | 12.5            | 1                |    1.52587890625e-05
greedy       | 25         | 25              | 12               | 0.0012750625610351562
exaustive    | 25         | 25              | 1                |     3.0517578125e-05
greedy       | 25         | 50              | 12               | 0.002123117446899414
exaustive    | 25         | 50              | 1                | 2.8848648071289062e-05
greedy       | 25         | 75              | 12               | 0.0024497509002685547
exaustive    | 25         | 75              | 1                | 6.937980651855469e-05
greedy       | 26         | 12.5            | 11               | 0.0004062652587890625
exaustive    | 26         | 12.5            | 1                | 2.5033950805664062e-05
greedy       | 26         | 25              | 12               | 0.0008170604705810547
exaustive    | 26         | 25              | 1                | 4.2438507080078125e-05
greedy       | 26         | 50              | 12               | 0.004871368408203125
exaustive    | 26         | 50              | 1                | 3.170967102050781e-05
greedy       | 26         | 75              | 13               | 0.002648591995239258
exaustive    | 26         | 75              | 1                | 3.886222839355469e-05
greedy       | 27         | 12.5            | 12               | 0.0005314350128173828
exaustive    | 27         | 12.5            | 1                | 1.9311904907226562e-05
greedy       | 27         | 25              | 12               |  0.00324249267578125
exaustive    | 27         | 25              | 1                | 4.076957702636719e-05
greedy       | 27         | 50              | 13               | 0.0018661022186279297
exaustive    | 27         | 50              | 1                |     3.0517578125e-05
greedy       | 27         | 75              | 13               | 0.0039348602294921875
exaustive    | 27         | 75              | 1                | 6.914138793945312e-05
greedy       | 28         | 12.5            | 13               | 0.0006954669952392578
exaustive    | 28         | 12.5            | 1                | 1.8358230590820312e-05
greedy       | 28         | 25              | 14               | 0.001018524169921875
exaustive    | 28         | 25              | 1                | 4.2438507080078125e-05
greedy       | 28         | 50              | 14               | 0.006095170974731445
exaustive    | 28         | 50              | 1                | 3.1948089599609375e-05
greedy       | 28         | 75              | 13               | 0.003578662872314453
exaustive    | 28         | 75              | 1                |  4.1961669921875e-05
greedy       | 29         | 12.5            | 13               | 0.000957489013671875
exaustive    | 29         | 12.5            | 1                | 2.9087066650390625e-05
greedy       | 29         | 25              | 13               | 0.0011653900146484375
exaustive    | 29         | 25              | 1                | 2.6226043701171875e-05
greedy       | 29         | 50              | 14               | 0.0041501522064208984
exaustive    | 29         | 50              | 1                | 6.818771362304688e-05
greedy       | 29         | 75              | 14               | 0.004180431365966797
exaustive    | 29         | 75              | 1                | 4.0531158447265625e-05
greedy       | 30         | 12.5            | 12               | 0.0004703998565673828
exaustive    | 30         | 12.5            | 1                | 1.8835067749023438e-05
greedy       | 30         | 25              | 13               | 0.0014715194702148438
exaustive    | 30         | 25              | 1                | 4.6253204345703125e-05
greedy       | 30         | 50              | 15               | 0.006002664566040039
exaustive    | 30         | 50              | 1                | 3.886222839355469e-05
greedy       | 30         | 75              | 15               | 0.005707502365112305
exaustive    | 30         | 75              | 1                | 0.00010204315185546875
greedy       | 31         | 12.5            | 13               | 0.0007534027099609375
exaustive    | 31         | 12.5            | 1                | 1.9788742065429688e-05
greedy       | 31         | 25              | 14               | 0.0018336772918701172
exaustive    | 31         | 25              | 1                | 4.673004150390625e-05
greedy       | 31         | 50              | 15               | 0.005490779876708984
exaustive    | 31         | 50              | 1                | 7.081031799316406e-05
greedy       | 31         | 75              | 14               | 0.008254766464233398
exaustive    | 31         | 75              | 1                | 5.078315734863281e-05
greedy       | 32         | 12.5            | 14               | 0.0009567737579345703
exaustive    | 32         | 12.5            | 1                | 3.910064697265625e-05
greedy       | 32         | 25              | 16               | 0.0018875598907470703
exaustive    | 32         | 25              | 1                | 4.38690185546875e-05
greedy       | 32         | 50              | 15               |  0.00664830207824707
exaustive    | 32         | 50              | 1                | 6.651878356933594e-05
greedy       | 32         | 75              | 15               | 0.009180307388305664
exaustive    | 32         | 75              | 1                | 0.00011157989501953125
greedy       | 33         | 12.5            | 14               | 0.001001596450805664
exaustive    | 33         | 12.5            | 1                | 3.147125244140625e-05
greedy       | 33         | 25              | 16               | 0.0032868385314941406
exaustive    | 33         | 25              | 1                | 3.2901763916015625e-05
greedy       | 33         | 50              | 16               | 0.005244016647338867
exaustive    | 33         | 50              | 1                | 4.2438507080078125e-05
greedy       | 33         | 75              | 16               | 0.0072247982025146484
exaustive    | 33         | 75              | 1                | 5.459785461425781e-05
greedy       | 34         | 12.5            | 14               | 0.0010859966278076172
exaustive    | 34         | 12.5            | 1                | 2.1696090698242188e-05
greedy       | 34         | 25              | 16               | 0.0037326812744140625
exaustive    | 34         | 25              | 1                | 4.863739013671875e-05
greedy       | 34         | 50              | 16               | 0.010564565658569336
exaustive    | 34         | 50              | 1                | 4.315376281738281e-05
greedy       | 34         | 75              | 17               | 0.012225866317749023
exaustive    | 34         | 75              | 1                | 5.2928924560546875e-05
greedy       | 35         | 12.5            | 15               | 0.001283884048461914
exaustive    | 35         | 12.5            | 1                | 2.1457672119140625e-05
greedy       | 35         | 25              | 16               | 0.002306222915649414
exaustive    | 35         | 25              | 1                | 3.218650817871094e-05
greedy       | 35         | 50              | 17               | 0.009287834167480469
exaustive    | 35         | 50              | 1                | 8.177757263183594e-05
greedy       | 35         | 75              | 17               |  0.01132512092590332
exaustive    | 35         | 75              | 1                | 0.00015807151794433594
greedy       | 36         | 12.5            | 15               | 0.0021173954010009766
exaustive    | 36         | 12.5            | 1                | 2.3126602172851562e-05
greedy       | 36         | 25              | 17               | 0.0063304901123046875
exaustive    | 36         | 25              | 1                | 3.409385681152344e-05
greedy       | 36         | 50              | 17               | 0.012614250183105469
exaustive    | 36         | 50              | 1                |  9.5367431640625e-05
greedy       | 36         | 75              | 18               | 0.023028135299682617
exaustive    | 36         | 75              | 1                | 6.699562072753906e-05
greedy       | 37         | 12.5            | 16               | 0.002279520034790039
exaustive    | 37         | 12.5            | 1                |  2.6702880859375e-05
greedy       | 37         | 25              | 18               | 0.005174875259399414
exaustive    | 37         | 25              | 1                | 3.0994415283203125e-05
greedy       | 37         | 50              | 18               | 0.014765262603759766
exaustive    | 37         | 50              | 1                | 4.673004150390625e-05
greedy       | 37         | 75              | 18               | 0.019035816192626953
exaustive    | 37         | 75              | 1                | 0.0001556873321533203
greedy       | 38         | 12.5            | 17               |  0.00174713134765625
exaustive    | 38         | 12.5            | 1                | 4.100799560546875e-05
greedy       | 38         | 25              | 18               | 0.005198001861572266
exaustive    | 38         | 25              | 1                | 7.43865966796875e-05
greedy       | 38         | 50              | 18               | 0.015511035919189453
exaustive    | 38         | 50              | 1                | 5.3882598876953125e-05
greedy       | 38         | 75              | 19               | 0.022397756576538086
exaustive    | 38         | 75              | 1                | 6.580352783203125e-05
greedy       | 39         | 12.5            | 15               | 0.0018205642700195312
exaustive    | 39         | 12.5            | 1                | 2.574920654296875e-05
greedy       | 39         | 25              | 17               | 0.008538484573364258
exaustive    | 39         | 25              | 1                | 3.552436828613281e-05
greedy       | 39         | 50              | 19               |  0.01576685905456543
exaustive    | 39         | 50              | 1                |  4.9591064453125e-05
greedy       | 39         | 75              | 19               | 0.025450944900512695
exaustive    | 39         | 75              | 1                | 7.295608520507812e-05
greedy       | 40         | 12.5            | 16               | 0.003397703170776367
exaustive    | 40         | 12.5            | 1                | 6.961822509765625e-05
greedy       | 40         | 25              | 19               | 0.0050466060638427734
exaustive    | 40         | 25              | 1                | 7.081031799316406e-05
greedy       | 40         | 50              | 20               | 0.021611690521240234
exaustive    | 40         | 50              | 1                | 0.00011754035949707031
greedy       | 40         | 75              | 19               | 0.027336597442626953
exaustive    | 40         | 75              | 1                | 6.747245788574219e-05
greedy       | 41         | 12.5            | 17               |  0.00264739990234375
exaustive    | 41         | 12.5            | 1                | 2.6226043701171875e-05
greedy       | 41         | 25              | 19               | 0.005225419998168945
exaustive    | 41         | 25              | 1                | 7.653236389160156e-05
greedy       | 41         | 50              | 20               |   0.0242464542388916
exaustive    | 41         | 50              | 1                | 5.5789947509765625e-05
greedy       | 41         | 75              | 20               |  0.03372979164123535
exaustive    | 41         | 75              | 1                | 0.00014328956604003906
greedy       | 42         | 12.5            | 19               | 0.009475231170654297
exaustive    | 42         | 12.5            | 1                | 2.6464462280273438e-05
greedy       | 42         | 25              | 20               | 0.005606889724731445
exaustive    | 42         | 25              | 1                | 7.700920104980469e-05
greedy       | 42         | 50              | 20               |  0.02243947982788086
exaustive    | 42         | 50              | 1                | 5.269050598144531e-05
greedy       | 42         | 75              | 21               | 0.044441938400268555
exaustive    | 42         | 75              | 1                | 7.700920104980469e-05
greedy       | 43         | 12.5            | 19               | 0.003970146179199219
exaustive    | 43         | 12.5            | 1                | 2.8133392333984375e-05
greedy       | 43         | 25              | 21               | 0.010345220565795898
exaustive    | 43         | 25              | 1                | 3.886222839355469e-05
greedy       | 43         | 50              | 21               | 0.030083656311035156
exaustive    | 43         | 50              | 1                | 5.53131103515625e-05
greedy       | 43         | 75              | 21               |  0.04579281806945801
exaustive    | 43         | 75              | 1                |    7.62939453125e-05
greedy       | 44         | 12.5            | 19               | 0.0027277469635009766
exaustive    | 44         | 12.5            | 1                |     3.0517578125e-05
greedy       | 44         | 25              | 21               | 0.007354021072387695
exaustive    | 44         | 25              | 1                | 3.886222839355469e-05
greedy       | 44         | 50              | 21               | 0.030424833297729492
exaustive    | 44         | 50              | 1                | 5.7697296142578125e-05
greedy       | 44         | 75              | 22               | 0.048174142837524414
exaustive    | 44         | 75              | 1                | 7.748603820800781e-05
greedy       | 45         | 12.5            | 20               | 0.0038313865661621094
exaustive    | 45         | 12.5            | 1                | 2.7894973754882812e-05
greedy       | 45         | 25              | 22               |  0.08183622360229492
exaustive    | 45         | 25              | 1                | 6.413459777832031e-05
greedy       | 45         | 50              | 22               | 0.021564006805419922
exaustive    | 45         | 50              | 1                | 6.532669067382812e-05
greedy       | 45         | 75              | 22               |   0.0542140007019043
exaustive    | 45         | 75              | 1                | 8.344650268554688e-05
greedy       | 46         | 12.5            | 19               | 0.004886150360107422
exaustive    | 46         | 12.5            | 1                | 2.7179718017578125e-05
greedy       | 46         | 25              | 21               | 0.011968851089477539
exaustive    | 46         | 25              | 1                | 4.124641418457031e-05
greedy       | 46         | 50              | 23               |  0.07409071922302246
exaustive    | 46         | 50              | 1                | 6.628036499023438e-05
